sku,Product name,Product EAN,Price in store
885BR,Brievenbus Bremen bruin,4000000000000,0
886Si,Brievenbus Kiel zilver,4000000000000,0
886W,Brievenbus Kiel wit,4000000000000,159
886GR,Brievenbus Kiel groen,4000000000000,144
886S,Brievenbus Kiel zwart,4000000000000,144
1899W,Brievenbus Venezia wit,4000000000000,299
1899BC,Brievenbus Venezia koperbruin,4000000000000,311.55
857W,Brievenbus Modena wit,4000000000000,73.62
857Si,Brievenbus Modena zilver,4000000000000,73.62
857ANT,Brievenbus Modena antraciet,4000000000000,0
1883W,Brievenbus Sylt wit,4000000000000,125
1883K,Brievenbus Sylt koperbruin,4000000000000,133.8
777W,Brievenbus Leipzig wit,4000000000000,59
777BR,Brievenbus Leipzig bruin,4000000000000,42.95
3877Ni,RVS brievenbus Borkum,4000000000000,94.41
889W,Brievenbus Malmö,4000000000000,137.1
4905W,Brievenbus Swing wit,4000000000000,0
4906Si,Brievenbus Swing zilver,4000000000000,0
57471NP,Vierkant opblaaszwembad,6940000000000,27.95
56493NP,Opblaasbaarzwembad Happy Otter,6940000000000,36.95
56495NP,Opblaaszwembad Summer Colors,6940000000000,32.75
56475NP,Opblaasbaar zwembad met opblaasstoeltjes,6940000000000,49.95
56483NP,Opblaasbaar zwembad Family Pool blauw,6940000000000,33.95
58485NP,Groot opblaaszwembad Tropical Reef,6940000000000,0
58484NP,Opblaasbaar zwembad Family Pool Large,6940000000000,39.95
58412NP-2021,Afdekzeil zwembad 305x183 & 262x175 cm,6940000000000,7.55
59631NP,Stukje reparatiemateriaal voor zwembaden,6940000000000,0
28101NP,Intex Easy Set zwembad 183 x 51,6940000000000,26.95
28270NP,Intex zwembad Klein Frame 220 x 150 x 60 cm,6940000000000,57
28271NP,Intex zwembad Klein Frame 260 x 160 x 65 cm,6940000000000,114.95
28272NP,Intex zwembad Klein Frame 300 x 200 x 75 cm,6940000000000,134.95
28273NP,Intex zwembad Klein Frame 450 x 220 x 84 cm,6940000000000,225
28200NP,Intex Metal Frame zwembad 305 x 76 cm-Zonder filterpomp,6940000000000,109.95
28202GN,Intex Metal Frame zwembad 305 x 76 cm-Met 12-Volt filterpomp,6940000000000,169.95
28210NP,Intex Metal Frame zwembad 366 x 76 cm-Zonder filterpomp,6940000000000,149.95
28212GN,Intex Metal Frame zwembad 366 x 76 cm-Met 12-Volt filterpomp,6940000000000,195.9
Piano886S,Brievenbus Piano zwart,4000000000000,171.75
Piano886R,Brievenbus Piano rood,4000000000000,163.96
Piano886W,Brievenbus Piano wit,4000000000000,172.95
Pearl886GR,Brievenbus Pearl donkergrijs,4000000000000,146.93
Pearl886Si,Brievenbus Pearl zilvergrijs,4000000000000,141.28
898GT,Brievenbus Impression,4000000000000,143.33
1883E,Brievenbus Sylt antraciet,4000000000000,121.87
3843ES,RVS brievenbus Milano,4000000000000,259.95
3913Ni,RVS brievenbus Comfort,4000000000000,0
3857Ni,RVS brievenbus Modena,4000000000000,96.86
5877w,Brievenbus Mail wit,4000000000000,0
5877-si,Brievenbus Mail zilver,4000000000000,56.4
5832GR,Brievenbus Letter groen,4000000000000,502
5832E,Brievenbus Letter antraciet,4000000000000,0
5832w,Brievenbus Letter wit,4000000000000,46.69
5832Si,Brievenbus Letter zilver,4000000000000,32.95
5842E,Brievenbus Holiday antraciet,4000000000000,0
5842W,Brievenbus Holiday wit,4000000000000,59.87
5842Si,Brievenbus Holiday zilver,4000000000000,65.2
3844ES,RVS brievenbus Verona,4000000000000,298
3867Ni,RVS brievenbus Amrum,4000000000000,0
913W,Brievenbus Comfort 913 wit,4000000000000,62.81
913Si,Brievenbus Comfort 913 zilver,4000000000000,60
913S,Brievenbus Comfort 913 zwart,4000000000000,0
28604GS,Intex cartridge zwembadpomp klein,6940000000000,62.95
28638GS,Intex cartridge zwembadpomp middel,6940000000000,89.95
28636GS,Intex cartridge zwembadpomp groot,6940000000000,0
28634GS,Intex cartridge zwembadpomp zeer groot,6940000000000,0
28000,Zwembad skimmer,6940000000000,17.95
29000,Intex losse filtercartridge klein (type A),6940000000000,2.95
29005,Intex losse filtercartridge groot (type B),6940000000000,7.99
29039,Intex zwembad temperatuurmeter,6940000000000,2.95
28002,Intex zwembad schoonmaak onderhoudsset,6940000000000,18.95
28003,Intex zwembad onderhoudsset deluxe,6940000000000,49.95
916W,Brievenbus Olymp wit,4000000000000,0
916Si,Brievenbus Olymp zilver,4000000000000,0
28023,Intex afdekzeil zwembad Easy Set ø 457,6940000000000,0
91300W,Brievenbus Comfort-set wit,4000000000000,81.08
28032,Intex afdekzeil zwembad Frame ø 457 cm,6940000000000,0
91300Si,Brievenbus Comfort-set zilver,4000000000000,56.95
91300S,Brievenbus Comfort-set zwart,4000000000000,0
